incident_id,tcg_stolen_gun,tcg_not_stolen_gun,tcg_ratio
35340,2,0,
35389,2,0,
35417,2,0,
35420,1,0,
35421,1,0,
35433,1,0,
35696,2,0,
35700,6,0,
35843,1,0,
35846,1,0,
35850,1,0,
35916,1,0,
35921,1,0,
36114,2,0,
36123,1,0,
36254,1,0,
36255,6,0,
36262,2,0,
36272,1,0,
36438,1,0,
36557,4,0,
36565,4,0,
36575,1,0,
36669,2,0,
36678,2,0,
36682,2,0,
36870,1,0,
36888,4,0,
36891,1,0,
36894,4,0,
36898,4,0,
36905,1,0,
36908,1,0,
36910,6,0,
36915,1,0,
36916,2,0,
37078,3,0,
37081,6,0,
37101,1,0,
37108,6,0,
37112,2,0,
37117,4,0,
37118,1,0,
37121,1,0,
37373,2,0,
37423,3,0,
37424,1,0,
37428,1,0,
37466,3,0,
37467,2,0,
37592,1,0,
37597,4,0,
37605,1,0,
37846,4,0,
37847,2,0,
37849,1,0,
37876,1,0,
37878,1,0,
37886,2,0,
38060,2,0,
38067,1,0,
38151,2,0,
38157,1,0,
38158,4,0,
38363,1,0,
38364,10,0,
38368,4,0,
38375,2,0,
38379,2,0,
38449,1,0,
38456,1,0,
38460,1,0,
38656,2,0,
38660,1,0,
38664,2,0,
38665,1,0,
38674,2,0,
38675,2,0,
38807,4,0,
38814,1,0,
38833,2,0,
38834,1,0,
38841,6,0,
38844,1,0,
39030,2,0,
39065,2,0,
39076,4,0,
39084,2,0,
39139,1,0,
39148,4,0,
39150,6,0,
39158,2,0,
39447,2,0,
39592,1,0,
39593,2,0,
39597,2,0,
39737,18,0,
39820,2,0,
39824,1,0,
39846,2,0,
39853,2,0,
39854,2,0,
40034,1,0,
40050,4,0,
40069,1,0,
40079,8,0,
40131,4,0,
40133,2,0,
40184,2,0,
40185,2,0,
40306,4,0,
40367,3,0,
40456,4,0,
40459,6,0,
40460,6,0,
40461,4,0,
40471,1,0,
40475,1,0,
40603,2,0,
40631,4,0,
40654,6,0,
40667,3,0,
40781,3,0,
40792,1,0,
40838,1,0,
40859,4,0,
41021,2,0,
41215,2,0,
41216,1,0,
41222,4,0,
41225,2,0,
41280,4,0,
41326,1,0,
41331,1,0,
41453,2,0,
41458,1,0,
41621,2,0,
41639,6,0,
41651,1,0,
41654,1,0,
41659,6,0,
41674,6,0,
41820,1,0,
41822,1,0,
41827,2,0,
41833,2,0,
41834,2,0,
41839,2,0,
41856,1,0,
41943,1,0,
42117,3,0,
42152,4,0,
42240,4,0,
42321,8,0,
42324,2,0,
42328,2,0,
42345,6,0,
42346,1,0,
42514,1,0,
42520,2,0,
42525,2,0,
42528,4,0,
42728,1,0,
42745,2,0,
42753,1,0,
42855,1,0,
42914,4,0,
42943,2,0,
42946,1,0,
42954,1,0,
43016,4,0,
43081,2,0,
43173,2,0,
43192,1,0,
43193,3,0,
43279,2,0,
43286,2,0,
43312,14,0,
43589,1,0,
43590,1,0,
43591,2,0,
43600,1,0,
43611,2,0,
43628,6,0,
43743,2,0,
43781,1,0,
43878,1,0,
43880,1,0,
43883,4,0,
43905,1,0,
43916,1,0,
43950,2,0,
43952,2,0,
43953,1,0,
43962,1,0,
43964,1,0,
44073,1,0,
44108,2,0,
44120,2,0,
44122,1,0,
44332,2,0,
44339,1,0,
44407,2,0,
44411,4,0,
44566,1,0,
44617,2,0,
44688,2,0,
44716,4,0,
44719,6,0,
44734,1,0,
44735,2,0,
44739,2,0,
44741,1,0,
44746,2,0,
44749,2,0,
44913,2,0,
44923,8,0,
45014,4,0,
45070,18,0,
45094,2,0,
45109,4,0,
45238,1,0,
45248,1,0,
45250,3,0,
45296,2,0,
45298,6,0,
45302,2,0,
45324,3,0,
45411,2,0,
45638,2,0,
45642,2,0,
45643,1,0,
45647,2,0,
45829,2,0,
45841,1,0,
45880,4,0,
45883,2,0,
45893,2,0,
45902,2,0,
45908,4,0,
45910,2,0,
45911,4,0,
46035,1,0,
46083,6,0,
46201,2,0,
46208,1,0,
46210,3,0,
46214,3,0,
46216,1,0,
46219,2,0,
46221,2,0,
46359,2,0,
46381,1,0,
46424,8,0,
46437,1,0,
46440,2,0,
46444,4,0,
46542,1,0,
46715,2,0,
46730,1,0,
46814,12,0,
46816,1,0,
46818,2,0,
46891,2,0,
46892,4,0,
46896,2,0,
46900,2,0,
46904,2,0,
46947,2,0,
46952,4,0,
46954,2,0,
46968,2,0,
46997,2,0,
47036,2,0,
47088,2,0,
47219,2,0,
47228,1,0,
47231,6,0,
47234,2,0,
47360,2,0,
47364,3,0,
47426,1,0,
47439,2,0,
47488,4,0,
47491,1,0,
47566,2,0,
47593,4,0,
47598,4,0,
47614,2,0,
47617,2,0,
47631,1,0,
47789,2,0,
47792,3,0,
47794,6,0,
47795,2,0,
47796,2,0,
47860,2,0,
47868,1,0,
47869,2,0,
47872,1,0,
47959,1,0,
47961,6,0,
47968,2,0,
47972,3,0,
48084,1,0,
48088,2,0,
48096,2,0,
48098,2,0,
48101,1,0,
48107,2,0,
48116,1,0,
48120,2,0,
48198,2,0,
48215,1,0,
48243,2,0,
48277,2,0,
48337,4,0,
48395,2,0,
48410,2,0,
48447,1,0,
48453,2,0,
48578,2,0,
48583,2,0,
48589,2,0,
48592,2,0,
48626,4,0,
48640,2,0,
48645,4,0,
48658,6,0,
48669,2,0,
48708,4,0,
48711,2,0,
48713,2,0,
48723,2,0,
48729,1,0,
48740,1,0,
48749,2,0,
48805,1,0,
48810,1,0,
48837,6,0,
48839,2,0,
48847,2,0,
48865,2,0,
48872,2,0,
48876,4,0,
48883,2,0,
48899,4,0,
48908,6,0,
48914,4,0,
48953,2,0,
48967,2,0,
48974,1,0,
48976,3,0,
48990,4,0,
49026,1,0,
49056,2,0,
49060,1,0,
49063,1,0,
49067,2,0,
49068,3,0,
49078,2,0,
49083,1,0,
49097,4,0,
49111,2,0,
49112,4,0,
49114,3,0,
49125,4,0,
49129,4,0,
49132,8,0,
49142,2,0,
49146,1,0,
49151,2,0,
49179,2,0,
49191,2,0,
49198,8,0,
49214,2,0,
49242,4,0,
49250,1,0,
49260,2,0,
49265,1,0,
49267,2,0,
49271,1,0,
49297,6,0,
49306,2,0,
49310,1,0,
49314,6,0,
49324,4,0,
49330,2,0,
49340,4,0,
49341,6,0,
49353,4,0,
49354,10,0,
49355,2,0,
49369,6,0,
49386,1,0,
49393,1,0,
49416,2,0,
49427,2,0,
49432,1,0,
49434,1,0,
49443,4,0,
49459,1,0,
49480,1,0,
49523,1,0,
49533,6,0,
49534,4,0,
49544,1,0,
49557,1,0,
49569,4,0,
49577,1,0,
49589,2,0,
49594,12,0,
49598,6,0,
49601,4,0,
49611,2,0,
49625,10,0,
49637,1,0,
49656,1,0,
49667,2,0,
49673,2,0,
49697,1,0,
49714,2,0,
49749,1,0,
49760,2,0,
49762,2,0,
49764,1,0,
49792,6,0,
49794,2,0,
49815,2,0,
49821,1,0,
49846,4,0,
49849,4,0,
49857,6,0,
49858,4,0,
49861,2,0,
49866,1,0,
49869,2,0,
49889,2,0,
49895,6,0,
49900,1,0,
49902,1,0,
49920,6,0,
49930,2,0,
49952,4,0,
49958,4,0,
49970,2,0,
49985,2,0,
49987,2,0,
49990,2,0,
50001,2,0,
50002,2,0,
50014,4,0,
50045,1,0,
50063,3,0,
50071,6,0,
50077,2,0,
50094,4,0,
50098,1,0,
50110,4,0,
50126,3,0,
50127,3,0,
50129,4,0,
50152,1,0,
50156,1,0,
50164,1,0,
50166,2,0,
50168,1,0,
50206,8,0,
50209,4,0,
50226,1,0,
50232,2,0,
50240,2,0,
50250,4,0,
50262,4,0,
50275,4,0,
50290,2,0,
50295,4,0,
50306,4,0,
50317,2,0,
50326,2,0,
50347,1,0,
50360,1,0,
50371,4,0,
50426,4,0,
50431,2,0,
50433,1,0,
50470,2,0,
50477,4,0,
50480,2,0,
50512,2,0,
50514,6,0,
50525,1,0,
50547,3,0,
50548,2,0,
50559,4,0,
50628,2,0,
50641,2,0,
50642,4,0,
50646,2,0,
50655,3,0,
50685,4,0,
50688,3,0,
50695,1,0,
50701,2,0,
50703,2,0,
50707,1,0,
50709,2,0,
50715,2,0,
50742,1,0,
50751,6,0,
50759,2,0,
50765,2,0,
50781,1,0,
50804,1,0,
50806,1,0,
50862,2,0,
50868,4,0,
50878,4,0,
50881,4,0,
50893,1,0,
50903,2,0,
50916,2,0,
50918,4,0,
50922,4,0,
50923,2,0,
50977,1,0,
51007,4,0,
51029,2,0,
51052,2,0,
51053,4,0,
51087,2,0,
51102,4,0,
51133,2,0,
51137,2,0,
51148,1,0,
51162,2,0,
51173,2,0,
51187,4,0,
51189,4,0,
51190,1,0,
51195,2,0,
51200,2,0,
51212,1,0,
51215,2,0,
51220,2,0,
51221,2,0,
51227,2,0,
51236,4,0,
51246,1,0,
51250,2,0,
51266,2,0,
51268,2,0,
51272,2,0,
51274,2,0,
51277,1,0,
51291,2,0,
51294,2,0,
51321,2,0,
51331,2,0,
51338,1,0,
51346,2,0,
51352,1,0,
51383,4,0,
51389,2,0,
51398,2,0,
51414,2,0,
51416,1,0,
51425,8,0,
51459,2,0,
51461,2,0,
51475,2,0,
51503,4,0,
51511,2,0,
51518,2,0,
51521,2,0,
51524,1,0,
51562,1,0,
51598,2,0,
51639,4,0,
51653,1,0,
51654,1,0,
51670,2,0,
51674,2,0,
51696,2,0,
51749,2,0,
51770,2,0,
51796,6,0,
51800,2,0,
51811,2,0,
51828,1,0,
51838,3,0,
51853,4,0,
51867,2,0,
51870,2,0,
51872,1,0,
51873,2,0,
51879,1,0,
51882,2,0,
51897,2,0,
51939,1,0,
51970,1,0,
51977,1,0,
51991,2,0,
52000,6,0,
52001,2,0,
52004,2,0,
52010,2,0,
52043,2,0,
52093,4,0,
52111,1,0,
52153,2,0,
52160,2,0,
52166,2,0,
52170,2,0,
52200,2,0,
