incident_id,tcg_stolen_gun,tcg_not_stolen_gun,tcg_ratio,IsRatioCalculated
18263,2,0,,0
18265,1,0,,0
18292,2,2,1,1
18407,1,0,,0
18416,2,0,,0
18418,3,0,,0
18623,3,3,1,1
18624,1,0,,0
18641,4,0,,0
18649,2,0,,0
18650,1,0,,0
18653,2,0,,0
18656,1,0,,0
18752,2,0,,0
18757,10,0,,0
18759,1,0,,0
18764,2,0,,0
18789,2,0,,0
18816,4,0,,0
18873,6,0,,0
18876,1,2,0.5,1
18879,2,0,,0
18888,2,0,,0
18895,2,2,1,1
18911,3,0,,0
18912,4,0,,0
19071,2,0,,0
19077,2,0,,0
19078,10,4,2.5,1
19082,2,0,,0
19085,1,0,,0
19154,1,0,,0
19157,6,0,,0
19159,12,0,,0
19160,12,0,,0
19161,2,0,,0
19297,4,0,,0
19300,4,0,,0
19341,2,0,,0
19345,1,0,,0
19350,4,0,,0
19491,2,0,,0
19495,12,0,,0
19513,1,3,0.29999999999999999,1
19539,2,0,,0
19621,2,0,,0
19624,2,1,2,1
19628,4,0,,0
19630,4,0,,0
19633,1,0,,0
19884,2,0,,0
19889,1,0,,0
19977,2,0,,0
19978,2,0,,0
20004,1,0,,0
20018,2,0,,0
20024,2,0,,0
20026,1,0,,0
20028,1,0,,0
20032,1,1,1,1
20033,1,0,,0
20037,3,0,,0
20043,1,0,,0
20061,1,0,,0
20080,2,0,,0
20235,1,0,,0
20239,1,0,,0
20242,2,0,,0
20262,1,0,,0
20264,2,0,,0
20284,2,0,,0
20285,1,1,1,1
20292,2,0,,0
20300,6,0,,0
20395,4,0,,0
20450,1,0,,0
20496,4,0,,0
20539,1,0,,0
20540,2,2,1,1
20700,2,0,,0
20702,2,0,,0
20706,1,0,,0
20711,1,0,,0
20713,1,0,,0
20895,2,0,,0
20939,6,0,,0
20947,3,1,3,1
20962,12,0,,0
20968,2,0,,0
20970,2,2,1,1
20974,1,0,,0
21078,6,0,,0
21089,3,0,,0
21095,1,0,,0
21097,1,0,,0
21098,6,0,,0
21103,3,0,,0
21115,2,0,,0
21145,2,2,1,1
21146,2,0,,0
21168,8,0,,0
21279,4,0,,0
21282,1,0,,0
21284,3,1,3,1
21364,2,0,,0
21380,1,0,,0
21389,8,0,,0
21424,1,0,,0
21456,2,0,,0
21458,3,0,,0
21503,1,0,,0
21506,2,0,,0
21511,1,1,1,1
21513,6,0,,0
21661,4,0,,0
21663,2,0,,0
21665,3,1,3,1
21672,2,0,,0
21675,2,0,,0
21679,4,0,,0
21889,6,0,,0
21893,4,0,,0
21895,4,0,,0
21897,1,0,,0
22033,2,0,,0
22035,2,2,1,1
22044,1,0,,0
22051,6,0,,0
22054,4,0,,0
22098,1,0,,0
22100,2,0,,0
22104,4,0,,0
22116,4,0,,0
22313,1,0,,0
22327,2,0,,0
22426,1,0,,0
22428,4,2,2,1
22435,8,1,8,1
22443,1,1,1,1
22485,2,0,,0
22486,1,0,,0
22566,1,0,,0
22594,6,0,,0
22595,6,0,,0
22602,2,0,,0
22688,4,1,4,1
22691,4,0,,0
22697,2,0,,0
22856,4,2,2,1
22878,8,0,,0
22920,2,0,,0
22926,6,0,,0
22927,4,0,,0
22928,1,1,1,1
22933,1,0,,0
22936,2,0,,0
23003,1,0,,0
23005,4,0,,0
23071,2,2,1,1
23074,8,0,,0
23075,8,0,,0
23081,4,0,,0
23087,3,0,,0
23097,1,0,,0
23098,7,0,,0
23099,2,0,,0
23101,2,2,1,1
23179,2,0,,0
23180,2,0,,0
23253,3,0,,0
23259,1,0,,0
23262,2,0,,0
23313,3,1,3,1
23461,2,0,,0
23527,1,0,,0
23541,1,0,,0
23543,3,0,,0
23610,1,0,,0
23611,1,0,,0
23613,2,3,0.69999999999999996,1
23615,1,0,,0
23616,13,1,13,1
23627,2,0,,0
23668,1,0,,0
23770,4,0,,0
23780,2,0,,0
23794,2,1,2,1
23797,2,0,,0
23968,2,0,,0
23981,1,0,,0
23983,1,0,,0
23987,4,0,,0
23989,6,0,,0
23990,2,0,,0
23993,2,0,,0
23995,3,0,,0
23996,15,0,,0
23997,1,0,,0
24028,4,1,4,1
24030,1,0,,0
24041,2,0,,0
24045,2,1,2,1
24048,4,0,,0
24050,1,1,1,1
24207,3,0,,0
24213,1,1,1,1
24215,2,0,,0
24218,2,2,1,1
24423,1,0,,0
24427,6,0,,0
24435,1,0,,0
24438,4,0,,0
24439,2,6,0.29999999999999999,1
24442,1,0,,0
24443,2,2,1,1
24444,2,0,,0
24445,2,0,,0
24446,2,0,,0
24453,2,2,1,1
24461,4,0,,0
24661,2,0,,0
24662,3,1,3,1
24666,1,1,1,1
24669,3,1,3,1
24670,4,0,,0
24680,1,1,1,1
24709,2,0,,0
24767,2,0,,0
24855,6,0,,0
24912,4,2,2,1
24915,2,1,2,1
24916,2,0,,0
24917,1,0,,0
24919,2,0,,0
25032,1,0,,0
25034,4,2,2,1
25035,3,0,,0
25156,4,0,,0
25260,1,0,,0
25263,1,0,,0
25275,4,1,4,1
25281,2,1,2,1
25283,4,0,,0
25285,2,0,,0
25288,1,0,,0
25312,3,0,,0
25431,5,2,2.5,1
25433,2,0,,0
25473,2,0,,0
25474,3,0,,0
25476,1,0,,0
25480,3,0,,0
25485,2,0,,0
25489,1,0,,0
25508,1,0,,0
25509,4,0,,0
25529,1,1,1,1
25540,1,0,,0
25541,4,0,,0
25542,2,2,1,1
25697,1,0,,0
25698,6,0,,0
25706,1,0,,0
25875,1,0,,0
26123,1,0,,0
26128,4,0,,0
26138,1,1,1,1
26139,2,0,,0
26142,1,0,,0
26271,6,0,,0
26273,1,0,,0
26300,1,0,,0
26389,6,3,2,1
26417,6,2,3,1
26421,1,0,,0
26427,6,3,2,1
26530,1,0,,0
26578,1,0,,0
26584,1,0,,0
26585,4,0,,0
26730,2,0,,0
26738,4,0,,0
26752,2,2,1,1
26753,9,0,,0
26930,1,0,,0
26932,1,1,1,1
26946,2,0,,0
26949,2,0,,0
27041,2,1,2,1
27043,2,0,,0
27046,2,1,2,1
27048,2,0,,0
27054,2,0,,0
27057,1,0,,0
27167,1,0,,0
27176,2,0,,0
27179,2,0,,0
27181,1,0,,0
27188,1,0,,0
27207,4,0,,0
27438,1,0,,0
27480,2,0,,0
27482,1,0,,0
27631,6,0,,0
27635,1,0,,0
27644,1,0,,0
27724,3,0,,0
27735,2,0,,0
27834,1,1,1,1
27837,2,0,,0
27839,6,0,,0
27963,1,0,,0
27966,1,0,,0
27971,4,0,,0
27974,10,4,2.5,1
27975,2,0,,0
28026,2,0,,0
28240,1,1,1,1
28343,2,0,,0
28372,1,0,,0
28376,2,0,,0
28378,1,0,,0
28381,2,0,,0
28474,8,0,,0
28475,3,0,,0
28520,8,0,,0
28523,1,0,,0
28526,2,2,1,1
28560,2,0,,0
28668,3,0,,0
28678,3,1,3,1
28682,1,0,,0
28807,2,0,,0
28808,2,0,,0
28811,1,1,1,1
28815,1,0,,0
28820,2,0,,0
28868,1,0,,0
28942,1,0,,0
28971,4,0,,0
28972,1,1,1,1
28973,1,0,,0
28975,1,3,0.29999999999999999,1
28987,2,0,,0
29169,3,0,,0
29187,3,3,1,1
29237,1,0,,0
29238,1,0,,0
29240,2,0,,0
29241,4,0,,0
29360,11,0,,0
29368,2,0,,0
29370,1,0,,0
29371,8,2,4,1
29373,2,6,0.29999999999999999,1
29376,2,0,,0
29380,4,0,,0
29394,3,0,,0
29482,2,0,,0
29485,4,0,,0
29487,2,0,,0
29489,2,0,,0
29493,1,0,,0
29497,2,0,,0
29577,1,0,,0
29623,2,4,0.5,1
29646,1,1,1,1
29705,3,0,,0
29717,8,0,,0
29718,4,1,4,1
29719,3,0,,0
29720,6,0,,0
29972,6,0,,0
30029,4,0,,0
30036,1,0,,0
30162,2,1,2,1
30164,3,0,,0
30167,1,1,1,1
30222,1,2,0.5,1
30279,2,0,,0
30285,12,2,6,1
30354,9,1,9,1
30356,6,0,,0
30472,1,0,,0
30745,6,2,3,1
30747,1,0,,0
30750,2,2,1,1
30752,4,2,2,1
30755,4,0,,0
30786,2,0,,0
30883,1,0,,0
30934,4,0,,0
30940,2,0,,0
30942,2,0,,0
30949,1,0,,0
31027,2,0,,0
31028,8,0,,0
31035,2,0,,0
31040,3,0,,0
31041,1,0,,0
31136,2,2,1,1
31141,1,1,1,1
31154,2,0,,0
31165,6,0,,0
31167,1,0,,0
31168,6,0,,0
31169,2,0,,0
31171,2,2,1,1
31412,2,0,,0
31422,1,0,,0
31423,2,0,,0
31424,1,1,1,1
31428,1,2,0.5,1
31430,4,0,,0
31601,2,0,,0
31637,1,1,1,1
31641,2,0,,0
31813,1,0,,0
31826,4,0,,0
31845,1,1,1,1
31870,1,0,,0
31871,1,1,1,1
31880,2,0,,0
31882,4,0,,0
31974,2,0,,0
31976,6,0,,0
31991,6,0,,0
31993,2,0,,0
31995,1,1,1,1
32195,1,0,,0
32200,4,2,2,1
32264,4,0,,0
32451,3,1,3,1
32458,1,0,,0
32461,5,0,,0
32485,2,0,,0
32506,2,0,,0
32516,6,0,,0
32639,8,0,,0
32663,2,0,,0
32666,5,0,,0
32839,2,0,,0
32840,2,0,,0
32841,4,0,,0
32966,2,0,,0
32993,8,0,,0
32998,2,0,,0
32999,1,0,,0
33001,2,0,,0
33005,5,0,,0
33052,1,0,,0
33054,2,0,,0
33055,3,0,,0
33058,2,0,,0
33060,6,0,,0
33063,6,0,,0
33068,1,0,,0
33092,6,0,,0
33240,2,0,,0
33244,4,0,,0
33245,1,0,,0
33250,2,0,,0
33257,4,0,,0
33448,8,0,,0
33465,2,0,,0
33489,1,0,,0
33495,1,0,,0
33634,1,0,,0
33696,3,2,1.5,1
33698,1,0,,0
33703,4,0,,0
